Name;Styles;Allow left overflow;Allow right overflow;Base;Comp. 2;Comp. 3;Comp. 4
upsilontonos;3;1;1;upsilon;tonos;;
omegatonos;3;1;1;omega;tonos;;
uni03D3;3;0;0;Upsilon1;tonos;;
uni03D4;3;1;1;Upsilon1;uni0308;;
uni03F3;3;1;1;uni0237;uni0307;;
uni0400;3;1;1;uni0415;gravecomb;;
uni0401;3;1;1;uni0415;uni0308;;
uni0403;3;1;1;uni0413;acutecomb;;
uni0407;3;1;1;uni0406;uni0308;;
uni040C;3;1;1;uni041A;acutecomb;;
uni040D;3;1;1;uni0418;gravecomb;;
uni040E;3;1;1;uni0423;uni0306;;
uni0419;3;1;1;uni0418;uni0306;;
uni0439;3;1;1;uni0438;uni0306;;
uni0450;3;1;1;uni0435;gravecomb;;
uni0451;3;1;1;uni0435;uni0308;;
uni0453;3;1;1;uni0433;acutecomb;;
uni0456;3;1;1;dotlessi;uni0307;;
uni0457;3;1;1;dotlessi;uni0308;;
uni0458;3;1;1;uni0237;uni0307;;
uni045C;3;1;1;uni043A;acutecomb;;
uni045D;3;1;1;uni0438;gravecomb;;
uni045E;3;1;1;uni0443;uni0306;;
uni0476;3;1;1;uni0474;uni030F;;
uni0477;3;1;1;uni0475;uni030F;;
uni047C;3;1;1;uniA7B6;uni0486;uni0487;
uni047D;3;1;1;uniA7B7;uni0486;uni0487;
uni04C1;3;1;1;uni0416;uni0306;;
uni04C2;3;1;1;uni0436;uni0306;;
uni04D0;3;1;1;uni0410;uni0306;;
uni04D1;3;1;1;uni0430;uni0306;;
uni04D2;3;1;1;uni0410;uni0308;;
uni04D3;3;1;1;uni0430;uni0308;;
uni04D6;3;1;1;uni0415;uni0306;;
uni04D7;3;1;1;uni0435;uni0306;;
uni04DA;3;1;1;uni04D8;uni0308;;
uni04DB;3;1;1;uni04D9;uni0308;;
uni04DC;3;1;1;uni0416;uni0308;;
uni04DD;3;1;1;uni0436;uni0308;;
uni04DE;3;1;1;uni0417;uni0308;;
uni04DF;3;1;1;uni0437;uni0308;;
uni04E2;3;1;1;uni0418;uni0304;;
uni04E3;3;1;1;uni0438;uni0304;;
uni04E4;3;1;1;uni0418;uni0308;;
uni04E5;3;1;1;uni0438;uni0308;;
uni04E6;3;1;1;uni041E;uni0308;;
uni04E7;3;1;1;uni043E;uni0308;;
uni04EA;3;1;1;uni04E8;uni0308;;
uni04EB;3;1;1;uni04E9;uni0308;;
uni04EC;3;1;1;uni042D;uni0308;;
uni04ED;3;1;1;uni044D;uni0308;;
uni04EE;3;1;1;uni0423;uni0304;;
uni04EF;3;1;1;uni0443;uni0304;;
uni04F0;3;1;1;uni0423;uni0308;;
uni04F1;3;1;1;uni0443;uni0308;;
uni04F2;3;1;1;uni0423;uni030B;;
uni04F3;3;1;1;uni0443;uni030B;;
uni04F4;3;1;1;uni0427;uni0308;;
uni04F5;3;1;1;uni0447;uni0308;;
uni04F8;3;1;1;uni042B;uni0308;;
uni04F9;3;1;1;uni044B;uni0308;;
uni1E00;3;1;1;A;uni0325;;
uni1E01;3;1;1;a;uni0325;;
uni1E02;3;1;1;B;uni0307;;
uni1E03;3;1;1;b;uni0307;;
uni1E04;3;1;1;B;dotbelowcomb;;
uni1E05;3;1;1;b;dotbelowcomb;;
uni1E06;3;1;1;B;uni0331;;
uni1E07;3;1;1;b;uni0331;;
uni1E08;3;1;1;C;uni0327;acutecomb;
uni1E09;3;1;1;c;uni0327;acutecomb;
uni1E0A;3;1;1;D;uni0307;;
uni1E0B;3;1;1;d;uni0307;;
uni1E0C;3;1;1;D;dotbelowcomb;;
uni1E0D;3;1;1;d;dotbelowcomb;;
uni1E0E;3;1;1;D;uni0331;;
uni1E0F;3;1;1;d;uni0331;;
uni1E10;3;1;1;D;uni0327;;
uni1E11;3;1;1;d;uni0327;;
uni1E12;3;1;1;D;uni032D;;
uni1E13;3;1;1;d;uni032D;;
uni1E14;3;1;1;E;uni0304.case;gravecomb.case;
uni1E15;3;1;1;e;uni0304;gravecomb;
uni1E16;3;1;1;E;uni0304.case;acutecomb.case;
uni1E17;3;1;1;e;uni0304;acutecomb;
uni1E18;3;1;1;E;uni032D;;
uni1E19;3;1;1;e;uni032D;;
uni1E1A;3;1;1;E;uni0330;;
uni1E1B;3;1;1;e;uni0330;;
uni1E1C;3;1;1;E;uni0327;uni0306;
uni1E1D;3;1;1;e;uni0327;uni0306;
uni1E1E;3;1;1;F;uni0307;;
uni1E1F;3;1;1;f;uni0307;;
uni1E20;3;1;1;G;uni0304;;
uni1E21;3;1;1;g;uni0304;;
uni1E22;3;1;1;H;uni0307;;
uni1E23;3;1;1;h;uni0307;;
uni1E24;3;1;1;H;dotbelowcomb;;
uni1E25;3;1;1;h;dotbelowcomb;;
uni1E26;3;1;1;H;uni0308;;
uni1E27;3;1;1;h;uni0308;;
uni1E28;3;1;1;H;uni0327;;
uni1E29;3;1;1;h;uni0327;;
uni1E2A;3;1;1;H;uni032E;;
uni1E2B;3;1;1;h;uni032E;;
uni1E2C;3;1;1;I;uni0330;;
uni1E2D;3;1;1;dotlessi;uni0330;;
uni1E2E;3;1;1;I;uni0308_acutecomb;;
uni1E2F;3;1;1;dotlessi;uni0308_acutecomb;;
uni1E30;3;1;1;K;acutecomb;;
uni1E31;3;1;1;k;acutecomb;;
uni1E32;3;1;1;K;dotbelowcomb;;
uni1E33;3;1;1;k;dotbelowcomb;;
uni1E34;3;1;1;K;uni0331;;
uni1E35;3;1;1;k;uni0331;;
uni1E36;3;1;1;L;dotbelowcomb;;
uni1E37;3;1;1;l;dotbelowcomb;;
uni1E38;3;1;1;L;dotbelowcomb;uni0304;
uni1E39;3;1;1;l;dotbelowcomb;uni0304;
uni1E3A;3;1;1;L;uni0331;;
uni1E3B;3;1;1;l;uni0331;;
uni1E3C;3;1;1;L;uni032D;;
uni1E3D;3;1;1;l;uni032D;;
uni1E3E;3;1;1;M;acutecomb;;
uni1E3F;3;1;1;m;acutecomb;;
uni1E40;3;1;1;M;uni0307;;
uni1E41;3;1;1;m;uni0307;;
uni1E42;3;1;1;M;dotbelowcomb;;
uni1E43;3;1;1;m;dotbelowcomb;;
uni1E44;3;1;1;N;uni0307;;
uni1E45;3;1;1;n;uni0307;;
uni1E46;3;1;1;N;dotbelowcomb;;
uni1E47;3;1;1;n;dotbelowcomb;;
uni1E48;3;1;1;N;uni0331;;
uni1E49;3;1;1;n;uni0331;;
uni1E4A;3;1;1;N;uni032D;;
uni1E4B;3;1;1;n;uni032D;;
uni1E4C;3;1;1;O;tildecomb.case;acutecomb.case;
uni1E4D;3;1;1;o;tildecomb.case;acutecomb.case;
uni1E4E;3;1;1;O;tildecomb_uni0308.case;;
uni1E4F;3;1;1;o;tildecomb;uni0308;
uni1E50;3;1;1;O;uni0304.case;gravecomb.case;
uni1E51;3;1;1;o;uni0304;gravecomb;
uni1E52;3;1;1;O;uni0304.case;acutecomb.case;
uni1E53;3;1;1;o;uni0304;acutecomb;
uni1E54;3;1;1;P;acutecomb;;
uni1E55;3;1;1;p;acutecomb;;
uni1E56;3;1;1;P;uni0307;;
uni1E57;3;1;1;p;uni0307;;
uni1E58;3;1;1;R;uni0307;;
uni1E59;3;1;1;r;uni0307;;
uni1E5A;3;1;1;R;dotbelowcomb;;
uni1E5B;3;1;1;r;dotbelowcomb;;
uni1E5C;3;1;1;R;dotbelowcomb;uni0304;
uni1E5D;3;1;1;r;dotbelowcomb;uni0304;
uni1E5E;3;1;1;R;uni0331;;
uni1E5F;3;1;1;r;uni0331;;
uni1E60;3;1;1;S;uni0307;;
uni1E61;3;1;1;s;uni0307;;
uni1E62;3;1;1;S;dotbelowcomb;;
uni1E63;3;1;1;s;dotbelowcomb;;
uni1E64;3;1;1;S;acutecomb_uni0307;;
uni1E65;3;1;1;s;acutecomb_uni0307;;
uni1E66;3;1;1;S;uni030C_uni0307.case;;
uni1E67;3;1;1;s;uni030C;uni0307;
uni1E68;3;1;1;S;dotbelowcomb;uni0307;
uni1E69;3;1;1;s;dotbelowcomb;uni0307;
uni1E6A;3;1;1;T;uni0307;;
uni1E6B;3;1;1;t;uni0307;;
uni1E6C;3;1;1;T;dotbelowcomb;;
uni1E6D;3;1;1;t;dotbelowcomb;;
uni1E6E;3;1;1;T;uni0331;;
uni1E6F;3;1;1;t;uni0331;;
uni1E70;3;1;1;T;uni032D;;
uni1E71;3;1;1;t;uni032D;;
uni1E72;3;1;1;U;uni0324;;
uni1E73;3;1;1;u;uni0324;;
uni1E74;3;1;1;U;uni0330;;
uni1E75;3;1;1;u;uni0330;;
uni1E76;3;1;1;U;uni032D;;
uni1E77;3;1;1;u;uni032D;;
uni1E78;3;1;1;U;tildecomb.case;acutecomb.case;
uni1E79;3;1;1;u;tildecomb;acutecomb;
uni1E7A;3;1;1;U;uni0304.case;uni0308.case;
uni1E7B;3;1;1;u;uni0304;uni0308;
uni1E7C;3;1;1;V;tildecomb;;
uni1E7D;3;1;1;v;tildecomb;;
uni1E7E;3;1;1;V;dotbelowcomb;;
uni1E7F;3;1;1;v;dotbelowcomb;;
Wgrave;3;1;1;W;gravecomb;;
wgrave;3;1;1;w;gravecomb;;
Wacute;3;1;1;W;acutecomb;;
wacute;3;1;1;w;acutecomb;;
Wdieresis;3;1;1;W;uni0308;;
wdieresis;3;1;1;w;uni0308;;
uni1E86;3;1;1;W;uni0307;;
uni1E87;3;1;1;w;uni0307;;
uni1E88;3;1;1;W;dotbelowcomb;;
uni1E89;3;1;1;w;dotbelowcomb;;
uni1E8A;3;1;1;X;uni0307;;
uni1E8B;3;1;1;x;uni0307;;
uni1E8C;3;1;1;X;uni0308;;
uni1E8D;3;1;1;x;uni0308;;
uni1E8E;3;1;1;Y;uni0307;;
uni1E8F;3;1;1;y;uni0307;;
uni1E90;3;1;1;Z;uni0302;;
uni1E91;3;1;1;z;uni0302;;
uni1E92;3;1;1;Z;dotbelowcomb;;
uni1E93;3;1;1;z;dotbelowcomb;;
uni1E94;3;1;1;Z;uni0331;;
uni1E95;3;1;1;z;uni0331;;
uni1E96;3;1;1;h;uni0331;;
uni1E97;3;1;1;t;uni0308;;
uni1E98;3;1;1;w;uni030A;;
uni1E99;3;1;1;y;uni030A;;
uni1E9B;3;1;1;longs;uni0307;;
uni1EA0;3;1;1;A;dotbelowcomb;;
uni1EA1;3;1;1;a;dotbelowcomb;;
uni1EA2;3;1;1;A;hookabovecomb;;
uni1EA3;3;1;1;a;hookabovecomb;;
uni1EA4;3;1;1;A;uni0302_acutecomb;;
uni1EA5;3;1;1;a;uni0302_acutecomb;;
uni1EA6;3;1;1;A;uni0302_gravecomb;;
uni1EA7;3;1;1;a;uni0302_gravecomb;;
uni1EA8;3;1;1;A;uni0302_hookabovecomb;;
uni1EA9;3;1;1;a;uni0302_hookabovecomb;;
uni1EAA;3;1;1;A;uni0302.case;tildecomb.case;
uni1EAB;3;1;1;a;uni0302;tildecomb;
uni1EAC;3;1;1;A;dotbelowcomb;uni0302;
uni1EAD;3;1;1;a;dotbelowcomb;uni0302;
uni1EAE;3;1;1;A;uni0306_acutecomb.case;;
uni1EAF;3;1;1;a;uni0306_acutecomb;;
uni1EB0;3;1;1;A;uni0306_gravecomb.case;;
uni1EB1;3;1;1;a;uni0306_gravecomb;;
uni1EB2;3;1;1;A;uni0306_hookabovecomb.case;;
uni1EB3;3;1;1;a;uni0306_hookabovecomb;;
uni1EB4;3;1;1;A;uni0306;tildecomb;
uni1EB5;3;1;1;a;uni0306;tildecomb;
uni1EB6;3;1;1;A;dotbelowcomb;uni0306;
uni1EB7;3;1;1;a;dotbelowcomb;uni0306;
uni1EB8;3;1;1;E;dotbelowcomb;;
uni1EB9;3;1;1;e;dotbelowcomb;;
uni1EBA;3;1;1;E;hookabovecomb;;
uni1EBB;3;1;1;e;hookabovecomb;;
uni1EBC;3;1;1;E;tildecomb;;
uni1EBD;3;1;1;e;tildecomb;;
uni1EBE;3;1;1;E;uni0302_acutecomb;;
uni1EBF;3;1;1;e;uni0302_acutecomb;;
uni1EC0;3;1;1;E;uni0302_gravecomb;;
uni1EC1;3;1;1;e;uni0302_gravecomb;;
uni1EC2;3;1;1;E;uni0302_hookabovecomb;;
uni1EC3;3;1;1;e;uni0302_hookabovecomb;;
uni1EC4;3;1;1;E;uni0302.case;tildecomb.case;
uni1EC5;3;1;1;e;uni0302;tildecomb;
uni1EC6;3;1;1;E;dotbelowcomb;uni0302;
uni1EC7;3;1;1;e;dotbelowcomb;uni0302;
uni1EC8;3;1;1;I;hookabovecomb;;
uni1EC9;3;1;1;dotlessi;hookabovecomb;;
uni1ECA;3;1;1;I;dotbelowcomb;;
uni1ECB;3;1;1;dotlessi;dotbelowcomb;uni0307;
uni1ECC;3;1;1;O;dotbelowcomb;;
uni1ECD;3;1;1;o;dotbelowcomb;;
uni1ECE;3;1;1;O;hookabovecomb;;
uni1ECF;3;1;1;o;hookabovecomb;;
uni1ED0;3;1;1;O;uni0302_acutecomb;;
uni1ED1;3;1;1;o;uni0302_acutecomb;;
uni1ED2;3;1;1;O;uni0302_gravecomb;;
uni1ED3;3;1;1;o;uni0302_gravecomb;;
uni1ED4;3;1;1;O;uni0302_hookabovecomb;;
uni1ED5;3;1;1;o;uni0302_hookabovecomb;;
uni1ED6;3;1;1;O;uni0302.case;tildecomb.case;
uni1ED7;3;1;1;o;uni0302;tildecomb;
uni1ED8;3;1;1;O;dotbelowcomb;uni0302;
uni1ED9;3;1;1;o;dotbelowcomb;uni0302;
uni1EDA;3;1;1;O;uni031B;acutecomb;
uni1EDB;3;1;1;o;uni031B;acutecomb;
uni1EDC;3;1;1;O;uni031B;gravecomb;
uni1EDD;3;1;1;o;uni031B;gravecomb;
uni1EDE;3;1;1;O;uni031B;hookabovecomb;
uni1EDF;3;1;1;o;uni031B;hookabovecomb;
uni1EE0;3;1;1;O;uni031B;tildecomb;
uni1EE1;3;1;1;o;uni031B;tildecomb;
uni1EE2;3;1;1;O;dotbelowcomb;uni031B;
uni1EE3;3;1;1;o;dotbelowcomb;uni031B;
uni1EE4;3;1;1;U;dotbelowcomb;;
uni1EE5;3;1;1;u;dotbelowcomb;;
uni1EE6;3;1;1;U;hookabovecomb;;
uni1EE7;3;1;1;u;hookabovecomb;;
uni1EE8;3;1;1;U;uni031B;acutecomb;
uni1EE9;3;1;1;u;uni031B;acutecomb;
uni1EEA;3;1;1;U;uni031B;gravecomb;
uni1EEB;3;1;1;u;uni031B;gravecomb;
uni1EEC;3;1;1;U;uni031B;hookabovecomb;
uni1EED;3;1;1;u;uni031B;hookabovecomb;
uni1EEE;3;1;1;U;uni031B;tildecomb;
uni1EEF;3;1;1;u;uni031B;tildecomb;
uni1EF0;3;1;1;U;dotbelowcomb;uni031B;
uni1EF1;3;1;1;u;dotbelowcomb;uni031B;
Ygrave;3;1;1;Y;gravecomb;;
ygrave;3;1;1;y;gravecomb;;
uni1EF4;3;1;1;Y;dotbelowcomb;;
uni1EF6;3;1;1;Y;hookabovecomb;;
uni1EF7;3;1;1;y;hookabovecomb;;
uni1EF8;3;1;1;Y;tildecomb;;
uni1EF9;3;1;1;y;tildecomb;;
uni1F00;3;1;1;alpha;uni1FBF;;
uni1F01;3;1;1;alpha;uni1FFE;;
uni1F02;3;1;1;alpha;uni1FCD;;
uni1F03;3;1;1;alpha;uni1FDD;;
uni1F04;3;1;1;alpha;uni1FCE;;
uni1F05;3;1;1;alpha;uni1FDE;;
uni1F06;3;1;1;alpha;uni1FCE;;
uni1F07;3;1;1;alpha;uni1FDF;;
uni1F08;3;0;0;Alpha;uni1FBF;;
uni1F09;3;0;0;Alpha;uni1FFE;;
uni1F0A;3;0;0;Alpha;uni1FCD;;
uni1F0B;3;0;0;Alpha;uni1FDD;;
uni1F0C;3;0;0;Alpha;uni1FCE;;
uni1F0D;3;0;0;Alpha;uni1FDE;;
uni1F0E;3;0;0;Alpha;uni1FCE;;
uni1F0F;3;0;0;Alpha;uni1FDF;;
uni1F10;3;1;1;epsilon;uni1FBF;;
